R1,R2,R3,Zona
-0.1278,-0.069484,-0.073069,1
-0.18619,-0.070873,-0.076366,2
-0.11709,-0.081792,-0.10229,3
-0.070853,-0.33276,-0.10785,4
-0.25573,-0.13903,-0.14622,1
-0.37282,-0.14181,-0.15281,2
-0.23339,-0.16394,-0.20537,3
-0.14176,-0.66804,-0.21583,4
-0.38385,-0.20864,-0.21943,1
-0.55994,-0.2128,-0.2293,2
-0.349,-0.24642,-0.30917,3
-0.21272,-1.0058,-0.32395,4
-0.51215,-0.2783,-0.29269,1
-0.74754,-0.28384,-0.30585,2
-0.46397,-0.32922,-0.41366,3
-0.28373,-1.3461,-0.43221,4
-0.64063,-0.34801,-0.36601,1
-0.93561,-0.35494,-0.38246,2
-0.57834,-0.41234,-0.51884,3
-0.35479,-1.689,-0.54059,4
-0.7693,-0.41778,-0.43938,1
-1.1242,-0.42609,-0.45912,2
-0.69216,-0.49576,-0.62469,3
-0.42591,-2.0343,-0.64911,4
-0.89814,-0.4876,-0.51282,1
-1.3132,-0.4973,-0.53585,2
-0.80545,-0.57949,-0.73118,3
-0.49707,-2.3821,-0.75777,4
